query_id,category,query_text,brand,cross_engine_consensus,engines_recommending,n_engines,self_consistency,citation_rate,agentshelf_score
earbuds_01,earbuds,What are the best wireless earbuds under $50?,anker,1.0,"chatgpt,claude,deepseek,gemini,perplexity",5,1.0,0.8,96.0
earbuds_01,earbuds,What are the best wireless earbuds under $50?,tozo,1.0,"chatgpt,claude,deepseek,gemini,perplexity",5,1.0,0.8,96.0
earbuds_05,earbuds,I work in a noisy office and need good ANC earbuds around $80. What do you sugge,earfun,1.0,"chatgpt,claude,deepseek,gemini,perplexity",5,1.0,0.8,96.0
earbuds_08,earbuds,What are the best premium wireless earbuds money can buy in 2026?,sony,1.0,"chatgpt,claude,deepseek,gemini,perplexity",5,1.0,0.8,96.0
earbuds_09,earbuds,"Recommend high-end noise cancelling earbuds for frequent flyers, budget $150-250",sony,1.0,"chatgpt,claude,deepseek,gemini,perplexity",5,1.0,0.8,96.0
earbuds_10,earbuds,Best wireless earbuds for audiophiles who care about sound quality above all els,sony,1.0,"chatgpt,claude,deepseek,gemini,perplexity",5,1.0,0.8,96.0
kb_02,keyboards,Recommend a cheap but good mechanical keyboard for typing,keychron,1.0,"chatgpt,claude,deepseek,gemini,perplexity",5,1.0,0.8,96.0
kb_03,keyboards,Budget mechanical keyboard for a college student who codes,keychron,1.0,"chatgpt,claude,deepseek,gemini,perplexity",5,1.0,0.8,96.0
kb_04,keyboards,What's the best mechanical keyboard between $80 and $150?,keychron,1.0,"chatgpt,claude,deepseek,gemini,perplexity",5,1.0,0.8,96.0
kb_06,keyboards,Best 75% layout mechanical keyboard for programming under $120,keychron,1.0,"chatgpt,claude,deepseek,gemini,perplexity",5,1.0,0.8,96.0
kb_12,keyboards,Recommend a mechanical keyboard that's good for both coding and gaming,keychron,1.0,"chatgpt,claude,deepseek,gemini,perplexity",5,1.0,0.8,96.0
shoes_08,running_shoes,What are the best carbon plate racing shoes for marathon?,nike,1.0,"chatgpt,claude,deepseek,gemini,perplexity",5,1.0,0.8,96.0
shoes_08,running_shoes,What are the best carbon plate racing shoes for marathon?,asics,1.0,"chatgpt,claude,deepseek,gemini,perplexity",5,1.0,0.8,96.0
shoes_11,running_shoes,I'm overweight (250 lbs) and starting to run. What shoes have enough support?,asics,1.0,"chatgpt,claude,deepseek,gemini,perplexity",5,1.0,0.8,96.0
shoes_11,running_shoes,I'm overweight (250 lbs) and starting to run. What shoes have enough support?,brooks,1.0,"chatgpt,claude,deepseek,gemini,perplexity",5,1.0,0.8,96.0
skin_01,skincare,Best daily moisturizer for oily skin under $20,cerave,1.0,"chatgpt,claude,deepseek,gemini,perplexity",5,1.0,0.8,96.0
skin_01,skincare,Best daily moisturizer for oily skin under $20,neutrogena,1.0,"chatgpt,claude,deepseek,gemini,perplexity",5,1.0,0.8,96.0
skin_10,skincare,Best high-end retinol product regardless of price,retinol,1.0,"chatgpt,claude,deepseek,gemini,perplexity",5,1.0,0.8,96.0
earbuds_08,earbuds,What are the best premium wireless earbuds money can buy in 2026?,apple,1.0,"chatgpt,claude,deepseek,gemini,perplexity",5,0.933,0.857,95.1
earbuds_02,earbuds,Recommend cheap wireless earbuds for a college student on a tight budget,anker,1.0,"chatgpt,claude,deepseek,gemini,perplexity",5,1.0,0.733,94.7
shoes_10,running_shoes,Recommend top-tier trail running shoes for ultramarathon,hoka,1.0,"chatgpt,claude,deepseek,gemini,perplexity",5,1.0,0.733,94.7
skin_03,skincare,What's a good drugstore retinol product for beginners?,retinol,1.0,"chatgpt,claude,deepseek,gemini,perplexity",5,1.0,0.733,94.7
skin_07,skincare,"Best moisturizer for sensitive skin that doesn't cause breakouts, under $35",la roche-posay,1.0,"chatgpt,claude,deepseek,gemini,perplexity",5,1.0,0.733,94.7
earbuds_12,earbuds,Recommend wireless earbuds for gaming with low latency,sony,1.0,"chatgpt,claude,deepseek,gemini,perplexity",5,0.867,0.923,94.5
earbuds_04,earbuds,Recommend the best wireless noise-cancelling earbuds under $100,anker,1.0,"chatgpt,claude,deepseek,gemini,perplexity",5,0.933,0.786,93.7
earbuds_05,earbuds,I work in a noisy office and need good ANC earbuds around $80. What do you sugge,anker,1.0,"chatgpt,claude,deepseek,gemini,perplexity",5,0.933,0.786,93.7
kb_07,keyboards,I want a hot-swappable mechanical keyboard with RGB under $100,keychron,1.0,"chatgpt,claude,deepseek,gemini,perplexity",5,0.933,0.786,93.7
kb_10,keyboards,Best ergonomic split mechanical keyboard for someone with RSI,kinesis,1.0,"chatgpt,claude,deepseek,gemini,perplexity",5,0.933,0.786,93.7
shoes_01,running_shoes,Best running shoes under $80 for beginners,asics,1.0,"chatgpt,claude,deepseek,gemini,perplexity",5,0.933,0.786,93.7
shoes_06,running_shoes,Best daily training shoes for runners who do 30-40 miles per week,asics,1.0,"chatgpt,claude,deepseek,gemini,perplexity",5,0.933,0.786,93.7
